event,Range,RangeRate,Speed,LaneDistanceLeft,LaneDistanceRight,Crossing,End of event,Along_s,Alat_s,Driving style
7,89.625,-3.5625,32.32222,-3.03125,0.2539063,0,0,-0.803435857035122,0.0254611479207067,1
7,89.25,-3.5625,32.33889,-2.980469,0.3046875,0,0,-0.875199754901961,0.173400910364146,1
7,88.75,-3.875,32.36111,-2.9375,0.3632813,0,1,-0.942534313725491,0.34893137254902,1
6,85.9375,-5.0625,31.74722,-1.175781,1.84375,0,0,-0.281241421568628,-0.578889297385621,1
6,85.5,-5.0625,31.80556,-1.136719,1.890625,0,0,-0.0560260854341736,-0.50746160130719,1
6,84.75,-5.375,31.73889,-1.039063,1.992188,0,0,0.0805564129497953,-0.442514054980967,1
6,84.875,-5.0625,31.725,-0.9882813,2.035156,0,0,0.143367027580263,-0.384072739352151,1
6,85.0625,-4.4375,31.73333,-0.9375,2.078125,0,0,0.147266712454212,-0.332163735365941,1
6,84.4375,-3.875,31.64167,-0.8359375,2.164063,0,0,0.107116421568627,-0.286813123967536,1
6,84.1875,-3.25,31.70556,-0.7539063,2.195313,0,0,0.0377771089204912,-0.248046986102133,1
6,84.1875,-3.375,31.58056,-0.7148438,2.261719,0,0,-0.0458902714932127,-0.215891402714932,1
6,83.5625,-3.3125,31.70556,-0.6171875,2.347656,0,0,-0.0637070135746606,-0.188764705882353,1
6,83.3125,-3.6875,31.69167,-0.5742188,2.390625,0,0,-0.0650316742081448,-0.201994343891403,1
6,82.8125,-4,31.69167,-0.5351563,2.4375,0,0,-0.161075791855204,-0.158319004524887,1
6,82.625,-4.25,31.68333,-0.5,2.484375,0,0,-0.153177601809955,-0.172473981900452,1
6,81.9375,-4.5,31.70556,-0.4179688,2.566406,0,0,-0.189193438914027,-0.163883484162896,1
6,81.625,-4.5,31.67778,-0.3867188,2.601563,0,0,-0.167481900452489,-0.120882352941177,1
6,81.1875,-4.5,31.71111,-0.3554688,2.628906,0,0,-0.169522624434389,-0.136626696832579,1
6,80.6875,-4.5625,31.70556,-0.3125,2.65625,0,0,-0.159829185520362,-0.0767285067873304,1
6,79.5625,-4.8125,31.73333,-0.2617188,2.695313,0,0,-0.110057692307692,-0.0843427601809955,1
6,79.375,-4.875,31.71111,-0.21875,2.71875,0,0,-0.0448303167420814,-0.0885395927601811,1
6,79.3125,-4.4375,31.66945,-0.171875,2.746094,0,0,-0.0199479638009049,-0.147747737556561,1
6,78.125,-4.0625,31.73333,-0.1289063,2.769531,0,0,0.0601481900452489,-0.13212556561086,1
6,78.125,-3.8125,31.57222,-0.02734375,2.859375,0,0,0.121380090497738,-0.0953110859728507,1
6,77.8125,-3.5625,31.55,0,2.890625,0,0,0.123033936651584,-0.0967997737556561,1
6,77.625,-3.3125,31.58611,0.01953125,2.914063,0,0,0.227935520361991,-0.119731900452489,1
6,77.375,-3.3125,31.54445,0.046875,2.941406,0,0,0.24708257918552,-0.152536199095023,1
6,76.75,-3.4375,31.58611,0.109375,2.992188,0,0,0.265150210084034,-0.155769473173885,1
6,76.375,-3.4375,31.54445,-3.230469,0.03515625,1,0,0.275490788623142,-0.155592876894347,1
6,76,-3.6875,31.44722,-3.210938,0.05859375,0,0,0.279145038784745,-0.152118275515334,1
6,75.375,-3.875,31.45278,-3.191406,0.08203125,0,0,0.277153684550743,-0.14545753429577,1
6,74,-4.3125,31.34167,-3.140625,0.1445313,0,0,0.270557449903038,-0.135722518494577,1
6,74.25,-4.4375,31.37778,-3.117188,0.171875,0,0,0.260397058823529,-0.123025093370682,1
6,73.5625,-4.8125,31.37778,-3.085938,0.2148438,0,1,0.247713235294118,-0.107477124183007,1
8,76.5,-6.1875,33.18889,-1.171875,2.222656,0,0,-0.375345996732026,-0.466853349673203,1
8,76.4375,-6,33.17222,-1.148438,2.25,0,0,-0.380234827264239,-0.311327264239029,1
8,75.375,-6.0625,33.18056,-1.085938,2.3125,0,0,-0.381223905587876,-0.191425909466351,1
8,74.5625,-6.0625,33.18889,-1.007813,2.382813,0,0,-0.379254345327875,-0.103053634274222,1
8,74.5,-5.9375,33.21111,-0.984375,2.417969,0,0,-0.375267260109172,-0.0421147875816994,1
8,73.8125,-5.25,33.24167,-0.9101563,2.480469,0,0,-0.370203763556705,-0.00451371830783598,1
8,73.625,-5.4375,33.26389,-0.875,2.507813,0,0,-0.365004969295411,0.0138452246283128,1
8,73.1875,-5.3125,33.31945,-0.84375,2.503906,0,0,-0.360611990950226,0.0170576923076923,1
8,72.5,-5.3125,33.28889,-0.7460938,2.542969,0,0,-0.333378959276018,0.0308744343891402,1
8,72,-5.3125,33.30278,-0.7109375,2.570313,0,0,-0.355013574660634,0.000953619909502227,1
8,71.75,-5.6875,33.375,-0.671875,2.605469,0,0,-0.408800904977376,-0.00328733031674209,1
8,70.9375,-5.625,33.35833,-0.5898438,2.703125,0,0,-0.388029411764706,-0.0875135746606334,1
8,70.5625,-6,33.41389,-0.5546875,2.753906,0,0,-0.387444570135747,-0.0990599547511311,1
8,70,-6.5,33.42222,-0.515625,2.804688,0,0,-0.479757918552036,-0.0314898190045248,1
8,68.9375,-6.8125,33.40556,-0.4414063,2.882813,0,0,-0.382634615384616,-0.0356119909502262,1
8,68.375,-7,33.39722,-0.3945313,2.921875,0,0,-0.349983031674208,0.0673563348416289,1
8,67.75,-7.0625,33.42222,-0.34375,2.96875,0,0,-0.374761312217195,0.114591628959276,1
8,66.875,-7.1875,33.46111,-0.2460938,3.066406,0,0,-0.336030542986425,0.145205882352941,1
8,137.0625,4.1875,33.46667,-0.1445313,3.144531,0,0,-0.333599547511312,0.170648190045249,1
8,137.6875,4.25,33.51667,-0.05078125,3.210938,0,0,-0.249651583710407,0.219078054298643,1
8,138.1875,4.1875,33.49167,0,3.246094,0,0,-0.30285407239819,0.283179864253394,1
8,138.5625,4.1875,33.42222,0.0546875,3.296875,0,0,-0.381848416289593,0.36189592760181,1
8,138.5625,4.1875,33.48333,0.109375,3.347656,0,0,-0.335742081447964,0.356393665158371,1
8,139.3125,4.1875,33.46667,-3.183594,0.0859375,1,0,-0.38155959114415,0.348754080478345,1
8,140.8125,4.4375,33.54722,-3.175781,0.1210938,0,0,-0.428237053795877,0.334357488508224,1
8,141.6875,4.4375,33.61667,-3.152344,0.1523438,0,0,-0.470124645370969,0.31703370322488,1
8,142.6875,4.5625,33.57778,-3.105469,0.1914063,0,0,-0.501572541837248,0.300612538605186,1
8,142,4.3125,33.53889,-3.007813,0.2773438,0,0,-0.516930919162537,0.288923808626015,1
8,140.9375,4.125,33.59444,-2.957031,0.3125,0,0,-0.510549953314659,0.285797327264239,1
8,142.3125,4.25,33.65833,-2.902344,0.3476563,0,1,-0.476779820261438,0.295062908496732,1
9,70.6875,2.5625,32.09722,-0.05078125,3.386719,0,0,-0.129080065359477,-0.172503267973856,1
9,70.75,2.4375,32.01111,-0.01171875,3.417969,0,0,-0.194024042950514,-0.115589752567694,1
9,70.75,2.3125,32.03889,0.01171875,3.445313,0,0,-0.237253142282554,-0.0783819848452201,1
9,71,2.125,32.025,0.05859375,3.480469,0,0,-0.262473371399842,-0.0577753896430367,1
9,70.9375,1.9375,32.01111,0.1054688,3.5,0,0,-0.273390738346621,-0.0506653917977447,1
9,71.25,1.9375,32.03333,-3.195313,0.0703125,1,0,-0.273711251167134,-0.0539474161459456,1
9,71.1875,1.875,32.03333,-3.183594,0.07421875,0,0,-0.267140917905624,-0.0645168875242405,1
9,71.1875,1.6875,32.01111,-3.152344,0.1132813,0,0,-0.257385746606335,-0.0792692307692308,1
9,71.0625,1.4375,32.05556,-3.140625,0.1289063,0,0,-0.280443438914027,-0.146495475113122,1
9,71.125,1.5,32.01111,-3.117188,0.1523438,0,0,-0.292743212669683,-0.106865384615385,1
9,71.1875,1.5,32.00278,-3.09375,0.1757813,0,0,-0.323828054298643,-0.107565610859728,1
9,71.4375,1.625,32.025,-3.058594,0.2070313,0,0,-0.275109728506787,-0.0423597285067873,1
9,71.4375,1.75,32.06111,-3.03125,0.2226563,0,0,-0.270056561085973,-0.0112047511312217,1
9,71.6875,2.0625,32.01111,-3.03125,0.2265625,0,0,-0.279606334841629,0.0153212669683258,1
9,71.75,1.9375,31.975,-3.03125,0.234375,0,0,-0.214739819004525,0.0638099547511312,1
9,72,2.0625,31.91945,-3.007813,0.2578125,0,0,-0.184710407239819,0.0540475113122172,1
9,72,2.1875,31.975,-2.996094,0.2695313,0,0,-0.226901583710407,0.106716063348416,1
9,72.25,2.625,31.93889,-2.984375,0.28125,0,0,-0.199502262443439,0.171826923076923,1
9,72.5,2.375,31.91111,-2.964844,0.3007813,0,0,-0.20266628959276,0.10283257918552,1
9,72.75,2.4375,31.94722,-2.949219,0.3164063,0,0,-0.154952488687783,0.0396617647058823,1
9,72.8125,2.5,31.86945,-2.9375,0.3203125,0,0,-0.131661764705882,-0.0199128959276018,1
9,73.4375,2.6875,31.88889,-2.929688,0.3203125,0,0,-0.144553167420815,-0.0749049773755656,1
9,73.3125,2.5,31.875,-2.925781,0.3203125,0,0,-0.2389592760181,-0.153454751131222,1
9,73.4375,2.375,31.83333,-2.929688,0.3242188,0,0,-0.252805429864253,-0.164205882352941,1
9,73.5625,2.1875,31.875,-2.921875,0.3476563,0,0,-0.254383686166774,-0.200620515513898,1
9,73.875,2.3125,31.875,-2.90625,0.3554688,0,0,-0.266840928679164,-0.214998747575953,1
9,73.9375,2.1875,31.85278,-2.90625,0.3632813,0,0,-0.298321011096746,-0.199603021978022,1
9,74.0625,2.3125,31.91945,-2.910156,0.3671875,0,0,-0.356967787114846,-0.146695782159017,1
9,74.375,2.25,31.88889,-2.914063,0.3671875,0,0,-0.450925110428787,-0.048539471557854,1
9,74.5625,2.4375,31.93333,-2.910156,0.3671875,0,0,-0.588336834733894,0.102603466386555,1
9,74.75,2.5,31.96111,-2.898438,0.3671875,0,1,-0.77734681372549,0.314470588235294,1
10,59.6875,-5.4375,34.11667,-1.546875,1.910156,0,0,-0.238129493464052,-0.763220588235294,1
10,59.75,-5.25,34.16945,-1.554688,1.914063,0,0,-0.309293709150327,-0.938044642857143,1
10,59.0625,-5.1875,34.17778,-1.53125,1.925781,0,0,-0.35180172197084,-1.07800545410472,1
10,58.875,-5.25,34.18889,-1.515625,1.945313,0,0,-0.370488247863248,-1.18494125727214,1
10,58.5625,-5.375,34.20278,-1.488281,1.945313,0,0,-0.370188002765209,-1.26069028765352,1
10,57.875,-5.625,34.20278,-1.511719,1.921875,0,0,-0.355735702614379,-1.30709078054299,1
10,57.1875,-5.6875,34.19445,-1.457031,1.988281,0,0,-0.331966063348416,-1.32598097123465,1
10,56.625,-5.75,34.23889,-1.402344,1.996094,0,0,-0.303713800904978,-1.31919909502262,1
10,55.625,-5.9375,34.225,-1.390625,1.894531,0,0,-0.312309954751131,-1.26962104072398,1
10,54.6875,-6,34.25,-1.359375,1.882813,0,0,-0.228546380090498,-1.25155882352941,1
10,53.6875,-6.0625,34.225,-1.269531,1.960938,0,0,-0.250828054298643,-1.1577036199095,1
10,53.1875,-5.9375,34.18889,-1.222656,2.019531,0,0,-0.284311085972851,-1.0689185520362,1
10,52.8125,-6,34.19445,-1.191406,2.066406,0,0,-0.230432126696833,-0.970983031674208,1
10,52.125,-5.875,34.24722,-1.097656,2.164063,0,0,-0.202511312217195,-0.961253393665159,1
10,51.75,-5.75,34.21111,-1.035156,2.222656,0,0,-0.111847285067873,-0.88437443438914,1
10,51.4375,-5.6875,34.17222,-0.9648438,2.289063,0,0,-0.121684389140272,-0.903676470588235,1
10,50.625,-5.6875,34.225,-0.8125,2.417969,0,0,-0.091239819004525,-0.854111990950226,1
10,50.1875,-5.8125,34.20555,-0.7304688,2.484375,0,0,-0.144631221719457,-0.804432126696833,1
10,49.625,-5.8125,34.21944,-0.6601563,2.546875,0,0,-0.140404977375566,-0.795040723981901,1
10,48.875,-5.75,34.22222,-0.53125,2.683594,0,0,-0.167685520361991,-0.711283936651584,1
10,48.375,-5.8125,34.23611,-0.453125,2.753906,0,0,-0.226946832579186,-0.564680995475113,1
10,48,-5.8125,34.21389,-0.3867188,2.820313,0,0,-0.28193778280543,-0.495787330316742,1
10,47.6875,-5.75,34.21389,-0.3046875,2.890625,0,0,-0.341443438914027,-0.354837104072398,1
10,46.9375,-5.75,34.23056,-0.140625,3.023438,0,0,-0.288037330316742,-0.390884615384615,1
10,46.625,-5.8125,34.25,-0.06640625,3.074219,0,0,-0.322515352294764,-0.323769432773109,1
10,46.1875,-5.75,34.26667,-0.01171875,3.101563,0,0,-0.333580541190835,-0.257792923579688,1
10,45.375,-5.75,34.27222,0.1523438,3.226563,0,0,-0.308368706456942,-0.194536755727932,1
10,45.0625,-5.625,34.26667,-3.148438,0.140625,1,0,-0.234015657545069,-0.135582597141421,1
10,44.625,-5.625,34.26667,-3.097656,0.1992188,0,0,-0.097657203907204,-0.0825121157437333,1
10,44.125,-5.625,34.26389,-3.011719,0.2929688,0,0,0.113570845004669,-0.0369069794584502,1
10,43.3125,-5.6875,34.19445,-2.875,0.4453125,0,1,0.412532679738562,-0.00034885620915043,1
12,56.1875,-5.5625,37.30833,-1.324219,2.199219,0,0,0.774410130718954,-0.126333333333333,3
12,55.8125,-5.625,37.28889,-1.265625,2.167969,0,0,0.697050186741363,-0.0321264005602241,3
12,54.9375,-5.875,37.18611,-1.273438,2.210938,0,0,0.62392471539898,-0.00156947586727002,3
12,54.4375,-5.875,37.13611,-1.269531,2.226563,0,0,0.557110608345903,-0.0225561301443655,3
12,54,-5.8125,37.04722,-1.25,2.21875,0,0,0.498684757236228,-0.0829799342814049,3
12,53.625,-5.875,36.99445,-1.226563,2.230469,0,0,0.450724053724054,-0.170734459168283,3
12,52.6875,-5.875,36.94722,-1.214844,2.257813,0,0,0.415305389463478,-0.273713275694893,3
